Feature1,Feature2,Feature3,Class
Sunny,Hot,High,0
Sunny,Hot,High,0
Overcast,Hot,High,1
Rainy,Mild,High,1
Rainy,Cool,Normal,1
Rainy,Cool,Normal,0
Overcast,Cool,Normal,1
Sunny,Mild,High,0
Sunny,Cool,Normal,1
Rainy,Mild,Normal,1
Sunny,Mild,Normal,1
Overcast,Mild,High,1
Overcast,Hot,Normal,1
Rainy,Hot,High,0
Rainy,Mild,Normal,0
Overcast,Hot,High,0
Sunny,Cool,High,0
Sunny,Hot,Normal,1
Rainy,Cool,High,0
Rainy,Cool,High,1
Overcast,Hot,High,1
Overcast,Hot,High,1
Sunny,Mild,Normal,0
Rainy,Mild,High,1
Sunny,Cool,High,0
Overcast,Cool,Normal,1
Overcast,Mild,High,1
Sunny,Hot,High,0
Sunny,Hot,High,0
Rainy,Cool,Normal,0
Sunny,Cool,Normal,1
Overcast,Hot,Normal,1
Overcast,Hot,Normal,1
Rainy,Mild,High,1
Rainy,Cool,Normal,1
Overcast,Mild,High,1
Sunny,Hot,High,0
Sunny,Hot,High,0
Rainy,Cool,Normal,1
Rainy,Cool,Normal,0
Overcast,Hot,Normal,1
Overcast,Hot,Normal,1
Sunny,Mild,High,0
Sunny,Mild,High,0
Rainy,Cool,Normal,0
Overcast,Cool,Normal,1
Rainy,Mild,Normal,1
Sunny,Hot,High,0
Rainy,Cool,High,1
Rainy,Cool,Normal,1
Overcast,Cool,Normal,1
Rainy,Mild,High,1
Sunny,Mild,Normal,1
Rainy,Hot,High,0
Rainy,Cool,Normal,0
Overcast,Hot,Normal,1
Sunny,Hot,High,0
Sunny,Hot,High,0
Overcast,Hot,High,1
Overcast,Cool,Normal,1
Rainy,Mild,Normal,1
Rainy,Mild,Normal,0
